,Price,Town,Zip,Beds,Baths,Days_Listed,Sqft,Age,Lot_Size
139,1398000.0,Great Neck,11021,4.0,3.0,21.0,,1938.0,
140,724999.0,Oceanside,11572,5.0,3.0,14.0,,1968.0,0.1
141,874990.0,Massapequa,11758,5.0,4.0,14.0,,1960.0,0.23
142,1200000.0,Plainview,11803,4.0,2.5,130.0,3200.0,2002.0,
143,409000.0,Massapequa,11758,3.0,2.0,18.0,,1960.0,
144,509000.0,Hempstead,11550,3.0,3.0,128.0,,1948.0,0.23
145,499000.0,Plainview,11803,4.0,2.5,136.0,,1968.0,
146,519999.0,Merrick,11566,3.0,1.5,,,1913.0,
147,289000.0,Oyster Bay,11771,3.0,1.0,120.0,,1924.0,0.06
148,345000.0,Oceanside,11572,3.0,1.5,412.0,,1960.0,
149,2495000.0,Syosset,11791,5.0,5.5,220.0,,1934.0,
150,2850000.0,Great Neck,11024,7.0,5.5,156.0,,1932.0,
151,345000.0,West Hempstead,11552,5.0,3.0,120.0,1900.0,1978.0,0.15
152,3900000.0,Great Neck,11024,6.0,5.0,184.0,,1908.0,
153,658888.0,Westbury,11590,4.0,2.5,6.0,,1958.0,0.22
154,729000.0,Port Washington,11050,4.0,2.5,7.0,,1969.0,0.11
155,759990.0,Farmingdale,11735,4.0,3.5,193.0,,1998.0,
156,529990.0,North Massapequa,11758,3.0,1.5,120.0,,1954.0,0.37
157,659990.0,Farmingdale,11735,5.0,2.5,152.0,,1974.0,
158,489990.0,Farmingdale,11735,3.0,3.5,169.0,,1955.0,0.16
159,419990.0,Farmingdale,11735,3.0,2.0,46.0,,1958.0,0.14
160,699990.0,Farmingdale,11735,5.0,4.0,52.0,,1988.0,0.55
161,339990.0,Farmingdale,11735,3.0,1.0,50.0,,1960.0,0.18
162,459000.0,Seaford,11783,6.0,2.0,211.0,,1954.0,0.18
163,134999.0,Hempstead,11550,2.0,2.0,120.0,1200.0,1966.0,
164,449000.0,North Baldwin,11510,5.0,4.0,125.0,3139.0,1923.0,0.27
165,1599918.0,Massapequa Park,11762,4.0,4.0,128.0,4484.0,1968.0,0.27
166,1199999.0,Garden City,11530,4.0,3.0,135.0,2237.0,1929.0,0.15
167,6995000.0,Oyster Bay,11771,8.0,6.5,138.0,10000.0,2002.0,4.75
168,2299000.0,Locust Valley,11560,5.0,5.5,136.0,,1954.0,2.46
169,1189888.0,Woodbury,11797,5.0,5.0,135.0,,1966.0,1.65
170,825818.0,Bellmore,11710,4.0,2.5,137.0,2753.0,1966.0,0.36
171,2999999.0,Glen Head,11545,6.0,6.5,120.0,6000.0,1990.0,2.29
172,679000.0,Plainview,11803,3.0,2.5,128.0,2140.0,2001.0,
