,Price,Beds,Baths,Area,Location
303,,3.0,3.0,2241.0,"
        Rental Unit in Lincoln Square "
304,,3.0,3.0,2241.0,"
        Rental Unit in Lincoln Square "
305,,4.0,5.0,2235.0,"
        Condo in Upper East Side "
306,,3.0,5.0,2227.0,"
        Condo in West Chelsea "
307,18500.0,2.0,3.0,2227.0,"
        Condo in Lincoln Square "
309,,2.0,1.0,900.0,"
        Rental Unit in Turtle Bay "
310,22500.0,3.0,5.0,2222.0,"
        Condo in Upper East Side "
311,14000.0,3.0,5.0,2220.0,"
        Condo in Yorkville "
312,14000.0,4.0,3.0,2219.0,"
        Rental Unit in Murray Hill "
313,,3.0,5.0,2214.0,"
        Condo in Lincoln Square "
314,,3.0,5.0,2213.0,"
        Condo in Battery Park City "
315,,3.0,3.0,2212.0,"
        Rental Unit in Midtown West "
316,,3.0,5.0,2208.0,"
        Rental Unit in Tribeca "
317,16800.0,3.0,4.0,2207.0,"
        Condo in Lincoln Square "
318,15000.0,4.0,3.0,2200.0,"
        Rental Unit in Upper West Side "
319,11500.0,4.0,5.0,2200.0,"
        Rental Unit in Upper West Side "
320,10750.0,2.0,2.0,2200.0,"
        Rental Unit in Soho "
321,8750.0,3.0,2.0,2200.0,"
        Rental Unit in Upper West Side "
324,,5.0,2.0,2200.0,"
        Rental Unit in Chelsea "
325,6700.0,4.0,5.0,2200.0,"
        Townhouse in East Harlem "
326,,2.0,2.0,2200.0,"
        Rental Unit in Noho "
327,14000.0,2.0,5.0,2200.0,"
        Rental Unit in Upper East Side "
328,21500.0,4.0,5.0,2200.0,"
        Condo in Gramercy Park "
329,,2.0,2.0,2200.0,"
        Condo in Soho "
330,,3.0,2.0,2200.0,"
        Condo in Tribeca "
331,,3.0,5.0,2200.0,"
        Co-op in Upper West Side "
332,,2.0,2.0,2200.0,"
        Rental Unit in Chelsea "
333,10000.0,3.0,3.0,2200.0,"
        Rental Unit in Upper West Side "
334,,3.0,3.0,2200.0,"
        Condo in Lenox Hill "
335,,2.0,5.0,2200.0,"
        Townhouse in Central Harlem "
336,,1.0,1.0,664.0,"
        Rental Unit in Upper West Side "
338,,4.0,5.0,2200.0,"
        Rental Unit in Fulton/Seaport "
339,,2.0,2.0,2200.0,"
        Rental Unit in Flatiron "
340,,3.0,4.0,2200.0,"
        Rental Unit in Midtown West "
341,8995.0,4.0,2.0,2170.0,"
        Rental Unit in West Village "
342,16500.0,2.0,2.0,2170.0,"
        Condo in Noho "
343,,3.0,5.0,2170.0,"
        Condo in Tribeca "
344,50000.0,3.0,5.0,2165.0,"
        Condo in Lincoln Square "
345,16725.0,3.0,5.0,2153.0,"
        Condo in Lincoln Square "
346,18500.0,2.0,5.0,2150.0,"
        Rental Unit in Flatiron "
347,7999.0,,1.0,2150.0,"
        Apartment in Financial District "
348,18500.0,3.0,4.0,2150.0,"
        Condo in Lenox Hill "
349,,4.0,3.0,2135.0,"
        Condo in Upper West Side "
350,,1.0,1.0,450.0,"
        Rental Unit in Soho "
351,,1.0,1.0,815.0,"
        Condo in Kips Bay "
352,,4.0,4.0,2127.0,"
        Rental Unit in Yorkville "
353,16500.0,4.0,3.0,2125.0,"
        Rental Unit in Battery Park City "
354,,3.0,5.0,2115.0,"
        Condo in Lincoln Square "
355,,,1.0,2113.0,"
        Apartment in NoMad "
356,,3.0,5.0,2110.0,"
        Condo in Lincoln Square "
357,,3.0,3.0,2103.0,"
        Condo in Financial District "
358,9500.0,1.0,1.0,2100.0,"
        Rental Unit in Soho "
359,8900.0,3.0,1.0,2100.0,"
        Rental Unit in Tribeca "
360,14000.0,3.0,3.0,2100.0,"
        Condo in Midtown West "
361,16500.0,3.0,3.0,2100.0,"
        Condo in Soho "
362,11500.0,2.0,2.0,2100.0,"
        Rental Unit in Soho "
363,,2.0,2.0,2100.0,"
        Condo in Greenwich Village "
366,13000.0,2.0,5.0,2100.0,"
        Condo in Turtle Bay "
367,,2.0,2.0,2100.0,"
        Rental Unit in Tribeca "
368,,5.0,3.0,2100.0,"
        Condo in Soho "
369,,3.0,5.0,2100.0,"
        Condo in Upper West Side "
370,16500.0,3.0,5.0,2097.0,"
        Rental Unit in Battery Park City "
