,Attributes,Price
1348,"['\n$2,950\nfor rent\n', '3 beds2 baths1,200 ft\xc2\xb2', '\n        Rental Unit in Washington Heights ']","
$2,950
for rent
"
1349,"['\n$8,000\nfor rent\n', 'Furnished2 beds2 baths1,200 ft\xc2\xb2', '\n        Rental Unit in Lenox Hill ']","
$8,000
for rent
"
1350,"['\n\xe2\x86\x93\n$3,000\nfor rent\n', '4 beds1 bath1,200 ft\xc2\xb2', '\n        Rental Unit in Central Harlem ']","
↓
$3,000
for rent
"
1351,"['\n\xe2\x86\x93\n$7,500\nfor rent\n', '1 bed1.5 baths1,200 ft\xc2\xb2', '\n        Rental Unit in West Village ']","
↓
$7,500
for rent
"
1352,"['\n\xe2\x86\x93\n$3,149\nfor rent\n', '2 beds2 baths1,200 ft\xc2\xb2', '\n        Condo in Hamilton Heights ', '\n\nOpen House: \n            Sun, Nov 9\xc2\xa0\n            \n              3:00 PM - 4:30 PM\n            \n          \n\n\n\n\xc2\xa0 Add to planner\n\n\n\n']","
↓
$3,149
for rent
"
1353,"['\n\xe2\x86\x93\n$6,000\nfor rent\n', '2 beds2.5 baths1,200 ft\xc2\xb2', '\n        Rental Unit in Kips Bay ']","
↓
$6,000
for rent
"
1354,"['\n$6,220\nfor rent\n', '2 beds2 baths1,200 ft\xc2\xb2', '\n        Rental Unit in Battery Park City ']","
$6,220
for rent
"
1355,"['\n$4,775\nfor rent\n', '2 beds2 baths1,200 ft\xc2\xb2', '\n        Rental Unit in Battery Park City ']","
$4,775
for rent
"
1356,"['\n$3,900\nfor rent\n', '2 beds1 bath1,200 ft\xc2\xb2', '\n        Multi-family in Two Bridges ']","
$3,900
for rent
"
1357,"['\n$5,500\nfor rent\n', '2 beds2 baths1,200 ft\xc2\xb2', '\n        Rental Unit in Turtle Bay ']","
$5,500
for rent
"
1358,"['\n$6,850\nfor rent\n', '3 beds2 baths', '\n        Rental Unit in Lenox Hill ', '\n          Listed by Stonehenge Management\n']","
$6,850
for rent
"
1359,"['\n\xe2\x86\x93\n$2,690\nfor rent\n', '1 bath', '\n        Rental Unit in Midtown West ', '\n          Listed by Nancy Packes Inc.\n']","
↓
$2,690
for rent
"
1360,"['\n$4,450\nfor rent\n', 'Furnished1 bed1 bath1,200 ft\xc2\xb2', '\n        Rental Unit in Upper West Side ']","
$4,450
for rent
"
1361,"['\n$3,200\nfor rent\n', '3 beds2 baths1,200 ft\xc2\xb2', '\n        Rental Unit in Hudson Heights ']","
$3,200
for rent
"
1362,"['\n$5,995\nfor rent\n', '3 beds1 bath1,200 ft\xc2\xb2', '\n        Rental Unit in East Village ', '\n\nOpen House: \n            Sun, Nov 9\xc2\xa0\n            \n              by appointment only\n            \n          \n\n\n\n\xc2\xa0 Add to planner\n\n\n\n']","
$5,995
for rent
"
1363,"['\n$2,950\nfor rent\n', '2 beds1 bath1,200 ft\xc2\xb2', '\n        Rental Unit in Upper West Side ']","
$2,950
for rent
"
1364,"['\n$6,500\nfor rent\n', '3 beds2 baths1,200 ft\xc2\xb2', '\n        Rental Unit in Chelsea ', '\n\nOpen House: \n            Sun, Nov 9\xc2\xa0\n            \n              by appointment only\n            \n          \n\n\n\n\xc2\xa0 Add to planner\n\n\n\n']","
$6,500
for rent
"
1365,"['\n$4,900\nfor rent\n', '2 beds2 baths1,200 ft\xc2\xb2', '\n        Condop in Yorkville ', '\n\nOpen House: \n            Sun, Nov 9\xc2\xa0\n            \n              1:30 PM - 2:30 PM\n            \n          \n\n\n\n\xc2\xa0 Add to planner\n\n\n\n']","
$4,900
for rent
"
1366,"['\n$3,000\nfor rent\n', '3 beds1 bath1,200 ft\xc2\xb2', '\n        Rental Unit in Washington Heights ']","
$3,000
for rent
"
1367,"['\n\xe2\x86\x93\n$4,000\nfor rent\n', '2 beds1 bath1,200 ft\xc2\xb2', '\n        Rental Unit in East Village ']","
↓
$4,000
for rent
"
1368,"['\n$5,250\nfor rent\n', '2 beds2 baths1,200 ft\xc2\xb2', '\n        Rental Unit in Fulton/Seaport ']","
$5,250
for rent
"
1369,"['\n$6,000\nfor rent\n', '2 beds2 baths1,200 ft\xc2\xb2', '\n        Co-op in Upper West Side ']","
$6,000
for rent
"
1370,"['\n\xe2\x86\x91\n$6,700\nfor rent\n', 'Furnished2 beds2 baths1,200 ft\xc2\xb2', '\n        Townhouse in Upper West Side ']","
↑
$6,700
for rent
"
1371,"['\n$4,300\nfor rent\n', '2 beds2 baths1,200 ft\xc2\xb2', '\n        Rental Unit in Upper East Side ']","
$4,300
for rent
"
1372,"['\n\xe2\x86\x91\n$8,769\nfor rent\n', '2 beds2 baths', '\n        Rental Unit in Morningside Heights ', '\n          Listed by Stonehenge Management\n']","
↑
$8,769
for rent
"
1373,"['\n\xe2\x86\x93\n$3,370\nfor rent\n', '1 bath407 ft\xc2\xb2', '\n        Rental Unit in West Village ', '\n          Listed by Equity Residential\n']","
↓
$3,370
for rent
"
1374,"['\n\xe2\x86\x93\n$6,000\nfor rent\n', '2 beds2 baths1,200 ft\xc2\xb2', '\n        Condo in Murray Hill ']","
↓
$6,000
for rent
"
1375,"['\n$300,000\nfor rent\n', 'Furnished1 bed1.5 baths1,200 ft\xc2\xb2', '\n        Condo in Upper East Side ']","
$300,000
for rent
"
1376,"['\n$6,000\nfor rent\n', 'Furnished2 beds2 baths1,200 ft\xc2\xb2', '\n        Co-op in Upper West Side ']","
$6,000
for rent
"
1377,"['\n\xe2\x86\x93\n$7,500\nfor rent\n', '2 beds2 baths1,200 ft\xc2\xb2', '\n        Rental Unit in West Village ']","
↓
$7,500
for rent
"
1378,"['\n\xe2\x86\x93\n$5,200\nfor rent\n', '4 beds1.5 baths1,200 ft\xc2\xb2', '\n        Condo in Midtown West ']","
↓
$5,200
for rent
"
1379,"['\n$4,995\nfor rent\n', '3 beds2 baths1,200 ft\xc2\xb2', '\n        Condo in Fulton/Seaport ']","
$4,995
for rent
"
1380,"['\n\xe2\x86\x93\n$7,000\nfor rent\n', '3 beds2 baths1,200 ft\xc2\xb2', '\n        Rental Unit in Soho ', '\n\nOpen House: \n            Sun, Nov 9\xc2\xa0\n            \n              12:30 PM - 1:30 PM\n            \n          \n\n\n\n\xc2\xa0 Add to planner\n\n\n\n']","
↓
$7,000
for rent
"
1381,"['\n$5,500\nfor rent\n', '3 beds2 baths1,200 ft\xc2\xb2', '\n        Rental Unit in Upper West Side ']","
$5,500
for rent
"
1382,"['\n$5,495\nfor rent\n', '2 beds2 baths1,200 ft\xc2\xb2', '\n        Condo in Upper West Side ']","
$5,495
for rent
"
1383,"['\n$6,095\nfor rent\n', '3 beds2 baths1,200 ft\xc2\xb2', '\n        Rental Unit in Fulton/Seaport ']","
$6,095
for rent
"
1384,"['\n$6,500\nfor rent\n', '2 beds2 baths1,200 ft\xc2\xb2', '\n        Rental Unit in Chelsea ']","
$6,500
for rent
"
1385,"['\n$6,500\nfor rent\n', '3 beds1.5 baths1,200 ft\xc2\xb2', '\n        Rental Unit in East Village ']","
$6,500
for rent
"
1386,"['\n$3,995\nfor rent\n', '3 beds1 bath', '\n        Rental Unit in Lower East Side ', '\n          Listed by Link NY Realty\n']","
$3,995
for rent
"
1387,"['\n$1,625\nfor rent\n', '1 bed1 bath707 ft\xc2\xb2', '\n        Rental Unit in Central Harlem ', '\n          Listed by C&C Apartment Management LLC\n']","
$1,625
for rent
"
1388,"['\n\xe2\x86\x91\n$6,200\nfor rent\n', '1 bed1 bath1,200 ft\xc2\xb2', '\n        Rental Unit in Nolita ']","
↑
$6,200
for rent
"
1389,"['\n\xe2\x86\x93\n$3,950\nfor rent\n', '3 beds2 baths1,200 ft\xc2\xb2', '\n        Building in Chinatown ']","
↓
$3,950
for rent
"
1390,"['\n$12,750\nfor rent\n', '2 beds2 baths1,199 ft\xc2\xb2', '\n        Rental Unit in Chelsea ']","
$12,750
for rent
"
1391,"['\n\xe2\x86\x93\n$4,000\nfor rent\n', '2 baths1,198 ft\xc2\xb2', '\n        Condo in Lower East Side ']","
↓
$4,000
for rent
"
1392,"['\n$7,299\nfor rent\n', '2 beds2 baths1,198 ft\xc2\xb2', '\n        Rental Unit in Lincoln Square ']","
$7,299
for rent
"
1393,"['\n\xe2\x86\x91\n$6,120\nfor rent\n', '2 beds2 baths1,197 ft\xc2\xb2', '\n        Rental Unit in Lincoln Square ']","
↑
$6,120
for rent
"
1394,"['\n$9,500\nfor rent\n', 'Furnished2 beds2 baths1,196 ft\xc2\xb2', '\n        Condo in Midtown West ']","
$9,500
for rent
"
1395,"['\n$6,800\nfor rent\n', '2 beds2 baths1,196 ft\xc2\xb2', '\n        Condo in Midtown West ']","
$6,800
for rent
"
1396,"['\n\xe2\x86\x93\n$5,485\nfor rent\n', '2 beds2 baths1,195 ft\xc2\xb2', '\n        Rental Unit in Upper West Side ']","
↓
$5,485
for rent
"
1397,"['\n\xe2\x86\x93\n$5,490\nfor rent\n', '2 beds2 baths1,195 ft\xc2\xb2', '\n        Rental Unit in Upper West Side ']","
↓
$5,490
for rent
"
1398,"['\n\xe2\x86\x93\n$5,730\nfor rent\n', '2 beds2 baths1,195 ft\xc2\xb2', '\n        Rental Unit in Upper West Side ']","
↓
$5,730
for rent
"
1399,"['\n\xe2\x86\x91\n$5,755\nfor rent\n', '2 beds2 baths1,195 ft\xc2\xb2', '\n        Rental Unit in Upper West Side ']","
↑
$5,755
for rent
"
1400,"['\n\xe2\x86\x93\n$5,000\nfor rent\n', '2 beds2 baths1,100 ft\xc2\xb2', '\n        Rental Unit in Financial District ', '\n          Listed by Owner\n']","
↓
$5,000
for rent
"
1401,"['\n$2,450\nfor rent\n', '2 beds1 bath', '\n        Rental Unit in Chinatown ', '\n          Listed by Magnum Realty Holdings, LLC\n']","
$2,450
for rent
"
1402,"['\n\xe2\x86\x91\n$7,500\nfor rent\n', '2 beds2 baths1,190 ft\xc2\xb2', '\n        Condo in Midtown South ']","
↑
$7,500
for rent
"
1403,"['\n\xe2\x86\x93\n$7,850\nfor rent\n', '2 beds2 baths1,188 ft\xc2\xb2', '\n        Condo in Chelsea ', '\n\nOpen House: \n            Sun, Nov 9\xc2\xa0\n            \n              2:00 PM - 3:00 PM\n            \n          \n\n\n\n\xc2\xa0 Add to planner\n\n\n\n']","
↓
$7,850
for rent
"
1404,"['\n\xe2\x86\x91\n$5,657\nfor rent\n', '2 beds2 baths1,186 ft\xc2\xb2', '\n        Rental Unit in Kips Bay ']","
↑
$5,657
for rent
"
1405,"['\n$5,297\nfor rent\n', '2 beds2 baths1,186 ft\xc2\xb2', '\n        Rental Unit in Kips Bay ']","
$5,297
for rent
"
1406,"['\n$8,500\nfor rent\n', 'Furnished1 bed1.5 baths1,185 ft\xc2\xb2', '\n        Rental Unit in Financial District ']","
$8,500
for rent
"
1407,"['\n$4,850\nfor rent\n', '1 bed1.5 baths1,185 ft\xc2\xb2', '\n        Rental Unit in Financial District ']","
$4,850
for rent
"
1408,"['\n\xe2\x86\x93\n$7,390\nfor rent\n', '2 beds2 baths1,184 ft\xc2\xb2', '\n        Rental Unit in East Village ']","
↓
$7,390
for rent
"
1409,"['\n\xe2\x86\x93\n$7,195\nfor rent\n', '2 beds2 baths1,183 ft\xc2\xb2', '\n        Rental Unit in Yorkville ']","
↓
$7,195
for rent
"
1410,"['\n$6,800\nfor rent\n', '2 beds2 baths1,181 ft\xc2\xb2', '\n        Condo in Turtle Bay ']","
$6,800
for rent
"
1411,"['\n$5,700\nfor rent\n', '2 beds2 baths1,181 ft\xc2\xb2', '\n        Condo in West Chelsea ']","
$5,700
for rent
"
1412,"['\n\xe2\x86\x93\n$5,900\nfor rent\n', '3 beds2.5 baths1,180 ft\xc2\xb2', '\n        Rental Unit in Battery Park City ']","
↓
$5,900
for rent
"
1413,"['\n\xe2\x86\x93\n$5,700\nfor rent\n', '2 beds2.5 baths1,180 ft\xc2\xb2', '\n        Condo in Midtown ']","
↓
$5,700
for rent
"
1414,"['\n$2,775\nfor rent\n', '1 bed1 bath', '\n        Rental Unit in East Village ', '\n          Listed by Douglas Elliman\n']","
$2,775
for rent
"
1415,"['\n\xe2\x86\x93\n$4,915\nfor rent\n', '2 beds2 baths', '\n        Apartment in Fulton/Seaport ', '\n          Listed by Rose Associates, Inc.\n']","
↓
$4,915
for rent
"
1416,"['\n\xe2\x86\x93\n$5,800\nfor rent\n', '1 bed1.5 baths1,179 ft\xc2\xb2', '\n        Condo in Midtown West ']","
↓
$5,800
for rent
"
1417,"['\n\xe2\x86\x93\n$3,895\nfor rent\n', '3 beds2 baths1,178 ft\xc2\xb2', '\n        Rental Unit in Hamilton Heights ', '\n\nOpen House: \n            Sun, Nov 9\xc2\xa0\n            \n              11:00 AM - 12:00 PM\n            \n          \n\n\n\n\xc2\xa0 Add to planner\n\n\n\n']","
↓
$3,895
for rent
"
1418,"['\n\xe2\x86\x93\n$6,000\nfor rent\n', '2 beds2 baths1,176 ft\xc2\xb2', '\n        Rental Unit in Midtown South ']","
↓
$6,000
for rent
"
1419,"['\n\xe2\x86\x91\n$8,350\nfor rent\n', 'Furnished2 beds2 baths1,175 ft\xc2\xb2', '\n        Rental Unit in Financial District ']","
↑
$8,350
for rent
"
1420,"['\n\xe2\x86\x93\n$3,950\nfor rent\n', '3 beds2 baths1,175 ft\xc2\xb2', '\n        Rental Unit in Central Harlem ']","
↓
$3,950
for rent
"
1421,"['\n$8,500\nfor rent\n', '3 beds2.5 baths1,174 ft\xc2\xb2', '\n        Rental Unit in Battery Park City ']","
$8,500
for rent
"
1422,"['\n\xe2\x86\x93\n$3,300\nfor rent\n', '3 beds1 bath1,174 ft\xc2\xb2', '\n        Rental Unit in Hamilton Heights ', '\n\nOpen House: \n            Sun, Nov 9\xc2\xa0\n            \n              11:00 AM - 12:00 PM\n            \n          \n\n\n\n\xc2\xa0 Add to planner\n\n\n\n']","
↓
$3,300
for rent
"
1423,"['\n\xe2\x86\x93\n$6,900\nfor rent\n', '2 beds2 baths1,173 ft\xc2\xb2', '\n        Condo in Midtown South ', '\n\nOpen House: \n            Sun, Nov 9\xc2\xa0\n            \n              2:00 PM - 3:00 PM\n            \n          \n\n\n\n\xc2\xa0 Add to planner\n\n\n\n']","
↓
$6,900
for rent
"
1424,"['\n\xe2\x86\x93\n$3,900\nfor rent\n', '2 baths1,171 ft\xc2\xb2', '\n        Condo in Lower East Side ']","
↓
$3,900
for rent
"
1425,"['\n\xe2\x86\x93\n$5,250\nfor rent\n', 'Furnished1 bed1.5 baths1,171 ft\xc2\xb2', '\n        Rental Unit in Financial District ']","
↓
$5,250
for rent
"
1426,"['\n\xe2\x86\x93\n$5,800\nfor rent\n', '2 beds2 baths1,170 ft\xc2\xb2', '\n        Condo in Financial District ']","
↓
$5,800
for rent
"
1427,"['\n\xe2\x86\x93\n$3,695\nfor rent\n', '3 beds1 bath1,169 ft\xc2\xb2', '\n        Rental Unit in Hamilton Heights ', '\n\nOpen House: \n            Sun, Nov 9\xc2\xa0\n            \n              11:00 AM - 12:00 PM\n            \n          \n\n\n\n\xc2\xa0 Add to planner\n\n\n\n']","
↓
$3,695
for rent
"
1428,"['\n$4,295\nfor rent\n', '1 bed1.5 baths912 ft\xc2\xb2', '\n        Rental Unit in Turtle Bay ', '\n          Listed by Rose Associates, Inc.\n']","
$4,295
for rent
"
1429,"['\n$2,050\nfor rent\n', '1 bath', '\n        Rental Unit in West Village ', '\n          Listed by Prime Property NYC\n']","
$2,050
for rent
"
1430,"['\n\xe2\x86\x93\n$8,300\nfor rent\n', '2 beds2.5 baths1,168 ft\xc2\xb2', '\n        Condo in Midtown South ', '\n\nOpen House: \n            Sun, Nov 9\xc2\xa0\n            \n              12:00 PM - 1:00 PM\n            \n          \n\n\n\n\xc2\xa0 Add to planner\n\n\n\n']","
↓
$8,300
for rent
"
1431,"['\n\xe2\x86\x93\n$6,170\nfor rent\n', '2 beds2 baths1,168 ft\xc2\xb2', '\n        Rental Unit in Lincoln Square ']","
↓
$6,170
for rent
"
1432,"['\n\xe2\x86\x93\n$6,115\nfor rent\n', '2 beds2 baths1,168 ft\xc2\xb2', '\n        Rental Unit in Lincoln Square ']","
↓
$6,115
for rent
"
1433,"['\n\xe2\x86\x93\n$5,534\nfor rent\n', '3 beds2 baths1,168 ft\xc2\xb2', '\n        Rental Unit in Lincoln Square ', '\n\nOpen House: \n            Sun, Nov 9\xc2\xa0\n            \n              11:00 AM - 5:00 PM\n            \n          \n\n\n\n\xc2\xa0 Add to planner\n\n\n\n']","
↓
$5,534
for rent
"
1434,"['\n$10,995\nfor rent\n', '2 beds2.5 baths1,168 ft\xc2\xb2', '\n        Condo in Midtown South ']","
$10,995
for rent
"
1435,"['\n\xe2\x86\x93\n$6,080\nfor rent\n', '2 beds2 baths1,168 ft\xc2\xb2', '\n        Rental Unit in Lincoln Square ']","
↓
$6,080
for rent
"
1436,"['\n\xe2\x86\x93\n$6,220\nfor rent\n', '2 beds2 baths1,168 ft\xc2\xb2', '\n        Rental Unit in Lincoln Square ']","
↓
$6,220
for rent
"
1437,"['\n$4,300\nfor rent\n', 'Furnished1 bed1.5 baths1,167 ft\xc2\xb2', '\n        Rental Unit in Lincoln Square ']","
$4,300
for rent
"
1438,"['\n$9,000\nfor rent\n', '2 beds2 baths1,166 ft\xc2\xb2', '\n        Rental Unit in Chelsea ', '\n\nOpen House: \n            Fri, Nov 21\xc2\xa0\n            \n              10:00 AM - 12:30 PM\n            \n          \n\n\n\n\xc2\xa0 Add to planner\n\n\n\n']","
$9,000
for rent
"
1439,"['\n\xe2\x86\x93\n$6,750\nfor rent\n', '2 beds2 baths1,165 ft\xc2\xb2', '\n        Rental Unit in East Village ']","
↓
$6,750
for rent
"
1440,"['\n$4,725\nfor rent\n', '1 bed1.5 baths1,165 ft\xc2\xb2', '\n        Rental Unit in Lenox Hill ']","
$4,725
for rent
"
1441,"['\n$4,975\nfor rent\n', '2 beds2 baths1,165 ft\xc2\xb2', '\n        Rental Unit in Murray Hill ']","
$4,975
for rent
"
1442,"['\n$2,900\nfor rent\n', '2 beds1 bath', '\n        Rental Unit in East Village ', '\n          Listed by Douglas Elliman\n']","
$2,900
for rent
"
1443,"['\n\xe2\x86\x93\n$6,095\nfor rent\n', '1 bed1.5 baths900 ft\xc2\xb2', '\n        Rental Unit in Chelsea ', '\n          Listed by Rose Associates, Inc.\n']","
↓
$6,095
for rent
"
1444,"['\n$3,700\nfor rent\n', '2 beds2 baths1,164 ft\xc2\xb2', '\n        Co-op in Central Harlem ']","
$3,700
for rent
"
1445,"['\n\xe2\x86\x93\n$3,900\nfor rent\n', '2 baths1,164 ft\xc2\xb2', '\n        Condo in Lower East Side ']","
↓
$3,900
for rent
"
1446,"['\n$5,350\nfor rent\n', 'Furnished2 beds2 baths1,161 ft\xc2\xb2', '\n        Rental Unit in Midtown ']","
$5,350
for rent
"
1447,"['\n\xe2\x86\x93\n$6,600\nfor rent\n', '2 beds2 baths1,161 ft\xc2\xb2', '\n        Rental Unit in West Chelsea ']","
↓
$6,600
for rent
"
1448,"['\n\xe2\x86\x93\n$6,600\nfor rent\n', '3 beds2 baths1,160 ft\xc2\xb2', '\n        Condo in Turtle Bay ']","
↓
$6,600
for rent
"
1449,"['\n$6,300\nfor rent\n', '3 beds2 baths1,160 ft\xc2\xb2', '\n        Condo in Turtle Bay ']","
$6,300
for rent
"
1450,"['\n\xe2\x86\x91\n$2,300\nfor rent\n', '2 beds1 bath1,160 ft\xc2\xb2', '\n        Townhouse in Central Harlem ']","
↑
$2,300
for rent
"
1451,"['\n$6,300\nfor rent\n', '3 beds2 baths1,160 ft\xc2\xb2', '\n        Condo in Turtle Bay ']","
$6,300
for rent
"
1452,"['\n$6,300\nfor rent\n', '3 beds2 baths1,160 ft\xc2\xb2', '\n        Condo in Turtle Bay ']","
$6,300
for rent
"
1453,"['\n$6,500\nfor rent\n', '2 beds2 baths1,160 ft\xc2\xb2', '\n        Condo in Yorkville ']","
$6,500
for rent
"
1454,"['\n$6,350\nfor rent\n', '3 beds2 baths1,160 ft\xc2\xb2', '\n        Rental Unit in Turtle Bay ']","
$6,350
for rent
"
1455,"['\n$6,395\nfor rent\n', '3 beds2 baths1,160 ft\xc2\xb2', '\n        Condo in Turtle Bay ', '\n\nOpen House: \n            Sun, Nov 9\xc2\xa0\n            \n              2:30 PM - 3:30 PM\n            \n          \n\n\n\n\xc2\xa0 Add to planner\n\n\n\n']","
$6,395
for rent
"
1456,"['\n\xe2\x86\x93\n$4,990\nfor rent\n', '3 beds2 baths1,317 ft\xc2\xb2', '\n        Condo in Fulton/Seaport ', '\n          Listed by Halstead Property\n']","
↓
$4,990
for rent
"
1457,"['\n$4,405\nfor rent\n', '1 bed1 bath', '\n        Rental Unit in NoMad ', '\n          Listed by Nancy Packes Inc.\n']","
$4,405
for rent
"
1458,"['\n\xe2\x86\x93\n$6,200\nfor rent\n', '1 bed2 baths1,159 ft\xc2\xb2', '\n        Condo in Lincoln Square ']","
↓
$6,200
for rent
"
1459,"['\n\xe2\x86\x93\n$7,500\nfor rent\n', '2 beds2 baths1,158 ft\xc2\xb2', '\n        Condo in NoMad ', '\n\nOpen House: \n            Sat, Nov 8\xc2\xa0\n            \n              by appointment only\n            \n          \n\n\n\n\xc2\xa0 Add to planner\n\n\n\n']","
↓
$7,500
for rent
"
1460,"['\n$6,500\nfor rent\n', '3 beds2 baths1,158 ft\xc2\xb2', '\n        Rental Unit in Kips Bay ']","
$6,500
for rent
"
1461,"['\n$5,500\nfor rent\n', 'Furnished1 bed1 bath1,158 ft\xc2\xb2', '\n        Condo in Financial District ']","
$5,500
for rent
"
1462,"['\n$6,500\nfor rent\n', '3 beds2 baths1,158 ft\xc2\xb2', '\n        Rental Unit in Kips Bay ']","
$6,500
for rent
"
1463,"['\n\xe2\x86\x91\n$6,407\nfor rent\n', '2 beds2 baths1,157 ft\xc2\xb2', '\n        Rental Unit in Midtown ']","
↑
$6,407
for rent
"
1464,"['\n$5,400\nfor rent\n', '2 beds2 baths1,157 ft\xc2\xb2', '\n        Rental Unit in Battery Park City ']","
$5,400
for rent
"
1465,"['\n\xe2\x86\x93\n$3,450\nfor rent\n', '3 beds1 bath1,157 ft\xc2\xb2', '\n        Rental Unit in Hamilton Heights ', '\n\nOpen House: \n            Sun, Nov 9\xc2\xa0\n            \n              11:00 AM - 12:00 PM\n            \n          \n\n\n\n\xc2\xa0 Add to planner\n\n\n\n']","
↓
$3,450
for rent
"
1466,"['\n\xe2\x86\x93\n$3,700\nfor rent\n', '3 beds1 bath1,157 ft\xc2\xb2', '\n        Rental Unit in Hamilton Heights ', '\n\nOpen House: \n            Sun, Nov 9\xc2\xa0\n            \n              11:00 AM - 12:00 PM\n            \n          \n\n\n\n\xc2\xa0 Add to planner\n\n\n\n']","
↓
$3,700
for rent
"
1467,"['\n$7,000\nfor rent\n', '2 beds2 baths1,156 ft\xc2\xb2', '\n        Condo in Lincoln Square ']","
$7,000
for rent
"
1468,"['\n\xe2\x86\x93\n$5,050\nfor rent\n', '2 beds2 baths1,156 ft\xc2\xb2', '\n        Condo in Financial District ']","
↓
$5,050
for rent
"
1469,"['\n$6,800\nfor rent\n', '2 beds2 baths1,156 ft\xc2\xb2', '\n        Condo in Lincoln Square ']","
$6,800
for rent
"
1470,"['\n\xe2\x86\x93\n$2,582\nfor rent\n', '1 bath', '\n        Rental Unit in Turtle Bay ', '\n          Listed by Nancy Packes Inc.\n']","
↓
$2,582
for rent
"
1471,"['\n$2,950\nfor rent\n', '1 bath350 ft\xc2\xb2', '\n        Co-op in Gramercy Park ', '\n          Listed by Owner\n']","
$2,950
for rent
"
1472,"['\n\xe2\x86\x93\n$6,500\nfor rent\n', '2 beds2 baths1,156 ft\xc2\xb2', '\n        Condo in Lincoln Square ', '\n\nOpen House: \n            Sun, Nov 9\xc2\xa0\n            \n              by appointment only\n            \n          \n\n\n\n\xc2\xa0 Add to planner\n\n\n\n']","
↓
$6,500
for rent
"
1473,"['\n\xe2\x86\x93\n$6,403\nfor rent\n', '2 beds2 baths1,155 ft\xc2\xb2', '\n        Rental Unit in Midtown West ']","
↓
$6,403
for rent
"
1474,"['\n\xe2\x86\x91\n$5,575\nfor rent\n', '2 beds2 baths1,155 ft\xc2\xb2', '\n        Rental Unit in Kips Bay ']","
↑
$5,575
for rent
"
1475,"['\n$7,200\nfor rent\n', '2 beds2 baths1,155 ft\xc2\xb2', '\n        Rental Unit in Murray Hill ']","
$7,200
for rent
"
1476,"['\n\xe2\x86\x93\n$3,695\nfor rent\n', '3 beds1 bath1,154 ft\xc2\xb2', '\n        Rental Unit in Hamilton Heights ', '\n\nOpen House: \n            Sun, Nov 9\xc2\xa0\n            \n              11:00 AM - 12:00 PM\n            \n          \n\n\n\n\xc2\xa0 Add to planner\n\n\n\n']","
↓
$3,695
for rent
"
1477,"['\n$4,400\nfor rent\n', '2 beds2 baths1,153 ft\xc2\xb2', '\n        Condo in Financial District ']","
$4,400
for rent
"
1478,"['\n\xe2\x86\x91\n$5,810\nfor rent\n', '2 beds2 baths1,153 ft\xc2\xb2', '\n        Rental Unit in West Chelsea ']","
↑
$5,810
for rent
"
1479,"['\n$7,500\nfor rent\n', 'Furnished2 beds2 baths1,151 ft\xc2\xb2', '\n        Condo in Midtown South ']","
$7,500
for rent
"
1480,"['\n$5,975\nfor rent\n', '2 beds2 baths1,151 ft\xc2\xb2', '\n        Condo in Lincoln Square ']","
$5,975
for rent
"
1481,"['\n\xe2\x86\x93\n$7,295\nfor rent\n', '2 beds2 baths1,151 ft\xc2\xb2', '\n        Rental Unit in Midtown South ']","
↓
$7,295
for rent
"
1482,"['\n\xe2\x86\x93\n$4,500\nfor rent\n', '2 beds1.5 baths1,150 ft\xc2\xb2', '\n        Co-op in Midtown ']","
↓
$4,500
for rent
"
1483,"['\n$5,400\nfor rent\n', '1 bed1.5 baths1,150 ft\xc2\xb2', '\n        Townhouse in Lenox Hill ']","
$5,400
for rent
"
1484,"['\n\xe2\x86\x93\n$12,750\nfor rent\n', '3 beds3 baths', '\n        Rental Unit in Carnegie Hill ', '\n          Listed by Rose Associates, Inc.\n']","
↓
$12,750
for rent
"
1485,"['\n\xe2\x86\x93\n$2,195\nfor rent\n', '1 bed1 bath', '\n        Rental Unit in Midtown West ', '\n          Listed by GPA Realty\n']","
↓
$2,195
for rent
"
1486,"['\n$1,795\nfor rent\n', '2 beds1 bath1,150 ft\xc2\xb2', '\n        Rental Unit in Inwood ']","
$1,795
for rent
"
1487,"['\n$4,650\nfor rent\n', '2 beds1 bath1,150 ft\xc2\xb2', '\n        Rental Unit in Financial District ']","
$4,650
for rent
"
1488,"['\n\xe2\x86\x93\n$5,395\nfor rent\n', '2 beds2 baths1,150 ft\xc2\xb2', '\n        Rental Unit in Yorkville ']","
↓
$5,395
for rent
"
1489,"['\n$6,500\nfor rent\n', 'Furnished2 beds2 baths1,150 ft\xc2\xb2', '\n        Condo in Midtown West ', '\n\nOpen House: \n            Sun, Nov 9\xc2\xa0\n            \n              by appointment only\n            \n          \n\n\n\n\xc2\xa0 Add to planner\n\n\n\n']","
$6,500
for rent
"
1490,"['\n\xe2\x86\x91\n$5,300\nfor rent\n', '2 beds2 baths1,150 ft\xc2\xb2', '\n        Condo in Murray Hill ', '\n\nOpen House: \n            Sun, Nov 9\xc2\xa0\n            \n              12:00 PM - 1:30 PM\n            \n          \n\n\n\n\xc2\xa0 Add to planner\n\n\n\n']","
↑
$5,300
for rent
"
1491,"['\n$4,500\nfor rent\n', '2 beds2 baths1,150 ft\xc2\xb2', '\n        Rental Unit in Upper West Side ']","
$4,500
for rent
"
